year,month,co2
1969,11,322.85
1969,12,324.12
1970,1,325.06
1970,2,325.98
1970,3,326.93
1970,4,328.13
1970,5,328.08
1970,6,327.67
1970,7,326.34
1970,8,324.69
1970,9,323.1
1970,10,323.06
1970,11,324.01
1970,12,325.13
1971,1,326.17
1971,2,326.68
1971,3,327.18
1971,4,327.79
1971,5,328.93
1971,6,328.57
1971,7,327.36
1971,8,325.43
1971,9,323.36
1971,10,323.56
1971,11,324.8
1971,12,326.01
1972,1,326.77
1972,2,327.63
1972,3,327.75
1972,4,329.72
1972,5,330.07
1972,6,329.09
1972,7,328.04
1972,8,326.32
1972,9,324.84
1972,10,325.2
1972,11,326.5
1972,12,327.55
1973,1,328.55
1973,2,329.56
1973,3,330.3
1973,4,331.5
1973,5,332.48
1973,6,332.07
1973,7,330.87
1973,8,329.31
1973,9,327.52
1973,10,327.19
1973,11,328.17
1973,12,328.65
1974,1,329.36
1974,2,330.71
1974,3,331.49
1974,4,332.65
1974,5,333.1
1974,6,332.26
1974,7,331.18
1974,8,329.4
1974,9,327.44
1974,10,327.38
1974,11,328.46
1974,12,329.58
1975,1,330.41
1975,2,331.41
1975,3,332.05
1975,4,333.32
1975,5,333.98
1975,6,333.61
1975,7,331.91
1975,8,330.06
1975,9,328.57
1975,10,328.35
1975,11,329.5
1975,12,330.77
1976,1,331.76
1976,2,332.58
1976,3,333.5
1976,4,334.59
1976,5,334.89
1976,6,334.34
1976,7,333.06
1976,8,330.95
1976,9,329.31
1976,10,328.95
1976,11,330.32
1976,12,331.69
1977,1,332.94
1977,2,333.43
1977,3,334.71
1977,4,336.08
1977,5,336.76
1977,6,336.28
1977,7,334.93
1977,8,332.76
1977,9,331.6
1977,10,331.17
1977,11,332.41
1977,12,333.86
1978,1,334.98
1978,2,335.4
1978,3,336.65
1978,4,337.77
1978,5,338.02
1978,6,337.91
1978,7,336.55
1978,8,334.69
1978,9,332.77
1978,10,332.56
1978,11,333.93
1978,12,334.96
1979,1,336.24
1979,2,336.77
1979,3,337.97
1979,4,338.89
1979,5,339.48
1979,6,339.3
1979,7,337.74
1979,8,336.1
1979,9,333.93
1979,10,333.87
1979,11,335.3
1979,12,336.74
1980,1,338.03
1980,2,338.37
1980,3,340.09
1980,4,340.78
1980,5,341.49
1980,6,341.18
1980,7,339.57
1980,8,337.61
1980,9,335.9
1980,10,336.03
1980,11,337.12
1980,12,338.23
1981,1,339.25
1981,2,340.5
1981,3,341.4
1981,4,342.52
1981,5,342.93
1981,6,342.27
1981,7,340.51
1981,8,338.45
1981,9,336.71
1981,10,336.88
1981,11,338.38
1981,12,339.63
1982,1,340.77
1982,2,341.63
1982,3,342.72
1982,4,343.59
1982,5,344.16
1982,6,343.37
1982,7,342.07
1982,8,339.83
1982,9,338.0
1982,10,337.88
1982,11,339.28
1982,12,340.51
1983,1,341.4
1983,2,342.54
1983,3,343.12
1983,4,344.96
1983,5,345.78
1983,6,345.34
1983,7,344.0
1983,8,342.4
1983,9,339.88
1983,10,340.0
1983,11,341.16
1983,12,342.99
1984,1,343.82
1984,2,344.62
1984,3,345.39
1984,4,347.15
1984,5,347.52
1984,6,346.88
1984,7,345.47
1984,8,343.34
1984,9,341.13
1984,10,341.4
1984,11,343.02
1984,12,344.25
1985,1,344.99
1985,2,346.01
1985,3,347.43
1985,4,348.34
1985,5,348.92
1985,6,348.24
1985,7,346.53
1985,8,344.64
1985,9,343.06
1985,10,342.77
1985,11,344.21
1985,12,345.53
1986,1,346.28
1986,2,346.93
1986,3,347.83
1986,4,349.53
1986,5,350.2
1986,6,349.53
1986,7,347.92
1986,8,345.88
1986,9,344.83
1986,10,344.15
1986,11,345.64
1986,12,346.88
1987,1,348.0
1987,2,348.47
1987,3,349.4
1987,4,350.97
1987,5,351.84
1987,6,351.25
1987,7,349.5
1987,8,348.09
1987,9,346.44
1987,10,346.09
1987,11,347.54
1987,12,348.69
1988,1,350.16
1988,2,351.47
1988,3,351.96
1988,4,353.33
1988,5,353.97
1988,6,353.55
1988,7,352.14
1988,8,350.19
1988,9,348.5
1988,10,348.66
1988,11,349.85
1988,12,351.12
1989,1,352.55
1989,2,352.86
1989,3,353.48
1989,4,355.22
1989,5,355.47
1989,6,354.92
1989,7,353.7
1989,8,351.47
1989,9,349.61
1989,10,349.79
1989,11,351.1
1989,12,352.32
1990,1,353.46
1990,2,354.5
1990,3,355.19
1990,4,356.0
1990,5,356.96
1990,6,356.04
1990,7,354.62
1990,8,352.71
1990,9,350.77
1990,10,350.99
1990,11,352.64
1990,12,354.02
1991,1,354.53
1991,2,355.55
1991,3,356.96
1991,4,358.4
1991,5,359.14
1991,6,358.04
1991,7,355.98
1991,8,353.81
1991,9,351.95
1991,10,352.02
1991,11,353.55
1991,12,354.79
1992,1,355.79
1992,2,356.52
1992,3,357.61
1992,4,358.95
1992,5,359.46
1992,6,359.05
1992,7,356.82
1992,8,354.8
1992,9,352.81
1992,10,353.11
1992,11,353.96
1992,12,355.2
1993,1,356.5
1993,2,356.97
1993,3,358.18
1993,4,359.26
1993,5,360.08
1993,6,359.4
1993,7,357.38
1993,8,355.33
1993,9,353.5
1993,10,353.8
1993,11,355.15
1993,12,356.62
1994,1,358.19
1994,2,358.73
1994,3,359.79
1994,4,361.09
1994,5,361.52
1994,6,360.77
1994,7,359.38
1994,8,357.31
1994,9,355.68
1994,10,355.83
1994,11,357.42
1994,12,358.88
1995,1,359.81
1995,2,360.84
1995,3,361.48
1995,4,363.3
1995,5,363.65
1995,6,363.11
1995,7,361.75
1995,8,359.31
1995,9,357.91
1995,10,357.62
1995,11,359.42
1995,12,360.56
1996,1,361.91
1996,2,363.11
1996,3,363.88
1996,4,364.58
1996,5,365.29
1996,6,364.84
1996,7,363.52
1996,8,361.35
1996,9,359.32
1996,10,359.48
1996,11,360.64
1996,12,362.21
1997,1,363.06
1997,2,363.87
1997,3,364.44
1997,4,366.23
1997,5,366.68
1997,6,365.52
1997,7,364.36
1997,8,362.39
1997,9,360.08
1997,10,360.67
1997,11,362.32
1997,12,364.17
1998,1,365.22
1998,2,366.04
1998,3,367.2
1998,4,368.5
1998,5,369.19
1998,6,368.77
1998,7,367.53
1998,8,365.68
1998,9,363.8
1998,10,364.13
1998,11,365.36
1998,12,366.87
1999,1,368.05
1999,2,368.77
1999,3,369.49
1999,4,371.04
1999,5,370.9
1999,6,370.25
1999,7,369.17
1999,8,366.83
1999,9,364.54
1999,10,365.04
1999,11,366.58
1999,12,367.92
2000,1,369.05
2000,2,369.37
2000,3,370.42
2000,4,371.57
2000,5,371.74
2000,6,371.6
2000,7,370.02
2000,8,368.03
2000,9,366.53
2000,10,366.64
2000,11,368.2
2000,12,369.44
2001,1,370.2
2001,2,371.41
2001,3,372.04
2001,4,372.78
2001,5,373.94
2001,6,373.23
2001,7,371.54
2001,8,369.47
2001,9,367.88
2001,10,368.01
2001,11,369.6
2001,12,371.16
2002,1,372.36
2002,2,373.0
2002,3,373.44
2002,4,374.77
2002,5,375.48
2002,6,375.33
2002,7,373.95
2002,8,371.41
2002,9,370.63
2002,10,370.18
2002,11,372.01
2002,12,373.71
2003,1,374.61
2003,2,375.55
2003,3,376.04
2003,4,377.58
2003,5,378.28
2003,6,378.07
2003,7,376.54
2003,8,374.42
2003,9,372.92
2003,10,372.94
2003,11,374.29
2003,12,375.63
2004,1,376.73
2004,2,377.31
2004,3,378.33
2004,4,380.44
2004,5,380.56
2004,6,379.49
2004,7,377.71
2004,8,375.78
2004,9,373.99
2004,10,374.17
2004,11,375.79
2004,12,377.39
2005,1,378.29
2005,2,379.56
2005,3,380.06
2005,4,382.02
2005,5,382.21
2005,6,382.05
2005,7,380.63
2005,8,378.64
2005,9,376.38
2005,10,376.77
2005,11,378.27
2005,12,379.93
2006,1,381.33
2006,2,381.98
2006,3,382.53
2006,4,384.33
2006,5,384.89
2006,6,383.99
2006,7,382.25
2006,8,380.44
2006,9,378.77
2006,10,379.03
2006,11,380.11
2006,12,381.63
2007,1,382.55
2007,2,383.68
2007,3,384.31
2007,4,386.2
2007,5,386.38
2007,6,385.84
2007,7,384.42
2007,8,381.81
2007,9,380.83
2007,10,380.83
2007,11,382.32
2007,12,383.58
2008,1,385.04
2008,2,385.81
2008,3,385.8
2008,4,386.74
2008,5,388.49
2008,6,388.02
2008,7,386.22
2008,8,384.05
2008,9,383.05
2008,10,382.75
2008,11,383.98
2008,12,385.08
2009,1,386.63
2009,2,387.1
2009,3,388.5
2009,4,389.54
2009,5,390.15
2009,6,389.6
2009,7,388.05
2009,8,386.07
2009,9,384.64
2009,10,384.32
2009,11,386.05
2009,12,387.49
2010,1,388.55
2010,2,390.08
2010,3,391.02
2010,4,392.39
2010,5,393.24
2010,6,392.26
2010,7,390.35
2010,8,388.53
2010,9,386.85
2010,10,387.18
2010,11,388.69
2010,12,389.83
2011,1,391.33
2011,2,391.96
2011,3,392.49
2011,4,393.41
2011,5,394.33
2011,6,393.74
2011,7,392.64
2011,8,390.25
2011,9,389.05
2011,10,388.98
2011,11,390.3
2011,12,391.86
2012,1,393.13
2012,2,393.42
2012,3,394.43
2012,4,396.51
2012,5,396.96
2012,6,395.97
2012,7,394.6
2012,8,392.61
2012,9,391.2
2012,10,391.09
2012,11,393.03
2012,12,394.42
2013,1,395.69
2013,2,396.94
2013,3,397.35
2013,4,398.44
2013,5,400.06
2013,6,398.95
2013,7,397.45
2013,8,395.49
2013,9,393.48
2013,10,393.77
2013,11,395.27
2013,12,396.9
2014,1,398.01
2014,2,398.18
2014,3,399.56
2014,4,401.44
2014,5,401.99
2014,6,401.41
2014,7,399.17
2014,8,397.3
2014,9,395.49
2014,10,395.74
2014,11,397.32
2014,12,398.89
2015,1,399.94
2015,2,400.39
2015,3,401.6
2015,4,403.53
2015,5,404.04
2015,6,402.81
2015,7,401.54
2015,8,398.93
2015,9,397.43
2015,10,398.21
2015,11,400.17
2015,12,401.82
2016,1,402.58
2016,2,404.09
2016,3,404.79
2016,4,407.5
2016,5,407.59
2016,6,406.94
2016,7,404.43
2016,8,402.17
2016,9,400.94
2016,10,401.43
2016,11,403.57
2016,12,404.48
2017,1,406.0
2017,2,406.57
2017,3,406.99
2017,4,408.88
2017,5,409.84
2017,6,409.05
2017,7,407.13
2017,8,405.17
2017,9,403.2
2017,10,403.57
2017,11,405.1
2017,12,406.68
2018,1,407.98
2018,2,408.28
2018,3,409.19
2018,4,410.24
2018,5,411.23
2018,6,410.81
2018,7,408.83
2018,8,407.03
2018,9,405.52
2018,10,405.93
2018,11,408.05
2018,12,409.16
2019,1,410.85
2019,2,411.59
2019,3,411.93
2019,4,413.46
2019,5,414.76
2019,6,413.89
2019,7,411.78
2019,8,410.01
2019,9,408.48
2019,10,408.37
2019,11,410.22
2019,12,411.78
2020,1,413.31
2020,2,414.02
2020,3,414.44
2020,4,416.11
2020,5,417.1
2020,6,416.23
2020,7,414.42
2020,8,412.52
2020,9,411.19
2020,10,411.15
2020,11,412.88
2020,12,413.89
2021,1,415.16
